Party,Statistic,Type,Coeff,pval_coeff,r2,Lilliefors,Durbin-Watson,Linearity,Heteroscedasticity,Model_score
D66,JongerDan5Jaar_13,votes_sqrt,-0.0364,0.0,0.1792,0.0,0.824,0.9641855004574296,3.489567817729547e-08,3
PVV,JongerDan5Jaar_13,votes_div,0.8227,0.0,0.0077,0.0,0.5356,0.08184827270963756,0.2184351906568823,3
CDA,JongerDan5Jaar_13,votes_log,0.1696,0.0,0.1097,0.0,1.1185,5.753208798323406e-05,0.14937427011011953,3
SP,JongerDan5Jaar_13,votes,-0.0118,0.0,0.0615,0.0,0.7528,2.617566206117071e-13,6.173711051376937e-11,2
PvdA,JongerDan5Jaar_13,votes_div,1.2729,0.0,0.0064,0.0,1.6673,0.0,2.0127629547689085e-31,2
Groenlinks,JongerDan5Jaar_13,votes_div,16.3925,0.0,0.0255,0.0,1.9254,2.3713537557660938e-208,1.1533565236208613e-10,2
FvD,JongerDan5Jaar_13,votes,0.0,0.9966,0.0,0.0,0.3012,0.7926381472075498,0.5927817912278892,2
PvdD,JongerDan5Jaar_13,votes,-0.0054,0.0,0.1608,0.0,0.7506,9.26490707861881e-06,0.1220473875482585,3
CU,JongerDan5Jaar_13,votes_square,0.0037,0.0,0.0893,0.0,1.6026,3.339924885355222e-26,5.548254859034209e-23,3
SGP,JongerDan5Jaar_13,votes_square,0.0074,0.0,0.1551,0.0,1.6582,3.5444294133304595e-91,1.633727800661853e-64,3
DENK,JongerDan5Jaar_13,votes_sqrt,0.0166,0.0,0.0548,0.0,1.6072,1.6016195860586141e-15,6.980251861889373e-22,3
VijftigPlus,JongerDan5Jaar_13,votes_square,-0.0004,0.0,0.0126,0.0,1.6502,0.19070379446079888,0.1902363507079734,4
D66,k_5Tot10Jaar_14,votes,-0.0181,0.0,0.1199,0.0,0.8671,0.11168710201535947,6.862967719843502e-17,3
PVV,k_5Tot10Jaar_14,votes_log,-0.0376,0.0,0.0037,0.0,0.4943,0.4230547444057463,6.278820846413085e-08,2
CDA,k_5Tot10Jaar_14,votes_log,0.206,0.0,0.1251,0.0,1.038,2.689148900457742e-15,0.9840676255605129,3
SP,k_5Tot10Jaar_14,votes_div,5.1122,0.0,0.0789,0.0,1.2227,7.076236817803647e-241,1.2969040479430647e-28,2
PvdA,k_5Tot10Jaar_14,votes_div,1.6886,0.0,0.0088,0.0,1.6643,0.0,2.2615497504775406e-33,2
Groenlinks,k_5Tot10Jaar_14,votes,-0.0089,0.0,0.0546,0.0,1.1943,0.9929140044809014,1.0112500529585415e-25,3
FvD,k_5Tot10Jaar_14,votes,-0.0033,0.1067,0.0018,0.0,0.3025,0.8022020846899477,0.21270009189244063,2
PvdD,k_5Tot10Jaar_14,votes,-0.0066,0.0,0.2001,0.0,0.7611,7.592091274163796e-09,2.1238612550322903e-05,2
CU,k_5Tot10Jaar_14,votes_square,0.0045,0.0,0.1038,0.0,1.6168,1.3003100775618124e-45,7.136910565289623e-23,3
SGP,k_5Tot10Jaar_14,votes_square,0.0085,0.0,0.1556,0.0,1.7025,1.586685161417151e-117,2.63572260412466e-62,3
DENK,k_5Tot10Jaar_14,votes,0.0011,0.0109,0.0044,0.0,1.5485,1.1246099065999592e-08,0.2951813172811531,3
VijftigPlus,k_5Tot10Jaar_14,votes_square,-0.0004,0.0,0.0183,0.0,1.6601,0.15771900505735012,0.3045637437912722,4
D66,k_10Tot15Jaar_15,votes_sqrt,-0.0313,0.0,0.08,0.0,0.6548,0.4542399126008524,0.4554280914972725,4
PVV,k_10Tot15Jaar_15,votes,-0.0078,0.0,0.0128,0.0,0.6666,0.11432925857292103,1.3492783863753054e-36,2
CDA,k_10Tot15Jaar_15,votes,0.0484,0.0,0.1192,0.0,0.992,8.09689514098453e-17,7.987562056156116e-78,2
SP,k_10Tot15Jaar_15,votes_div,5.5009,0.0,0.0718,0.0,1.236,1.340286400188457e-267,3.123286253442791e-29,2
PvdA,k_10Tot15Jaar_15,votes_div,2.879,0.0,0.0196,0.0,1.6744,0.0,1.4305350514550244e-29,2
Groenlinks,k_10Tot15Jaar_15,votes_sqrt,-0.0294,0.0,0.1203,0.0,1.117,0.5086058696223574,1.7754926805217194e-11,3
FvD,k_10Tot15Jaar_15,votes,-0.0095,0.0,0.0149,0.0,0.3237,0.5066180294483945,0.2090315581809784,3
PvdD,k_10Tot15Jaar_15,votes_sqrt,-0.0229,0.0,0.173,0.0006,0.5486,0.1616399700186343,0.0005278394172123849,3
CU,k_10Tot15Jaar_15,votes_square,0.0053,0.0,0.1124,0.0,1.637,5.955026129665452e-59,3.7584906685287135e-24,3
SGP,k_10Tot15Jaar_15,votes_square,0.0096,0.0,0.1511,0.0,1.7803,4.871607848932774e-123,2.95818026576785e-58,3
DENK,k_10Tot15Jaar_15,votes_square,-0.0001,0.0,0.0119,0.0,1.6243,0.16999570229307556,0.009269235759698997,3
VijftigPlus,k_10Tot15Jaar_15,votes_square,-0.0003,0.0,0.0078,0.0,1.6459,0.0017999838518548948,0.998411365244351,3
D66,k_15Tot20Jaar_16,votes_div,14.2192,0.0,0.0535,0.0,1.2146,2.5221766216735533e-288,8.41505640199171e-34,2
PVV,k_15Tot20Jaar_16,votes_log,-0.1442,0.0,0.0257,0.0,0.5067,0.2208412057626812,0.088780893452885,3
CDA,k_15Tot20Jaar_16,votes,0.0135,0.0,0.0063,0.0,0.883,0.016064275568630212,0.7988937065630177,2
SP,k_15Tot20Jaar_16,votes_div,7.245,0.0,0.0808,0.0,1.3053,4.479981100907951e-255,6.611267807220773e-28,2
PvdA,k_15Tot20Jaar_16,votes_div,5.6851,0.0,0.0511,0.0,1.7365,6.466752645069299e-290,1.3729614367882841e-34,3
Groenlinks,k_15Tot20Jaar_16,votes_div,29.1727,0.0,0.0321,0.0,1.9506,5.834933524567253e-259,1.0408763696878051e-13,2
FvD,k_15Tot20Jaar_16,votes,0.0011,0.655,0.0001,0.0,0.302,0.57675903481261,0.41580528384950177,2
PvdD,k_15Tot20Jaar_16,votes,-0.0051,0.0,0.0591,0.0,0.6176,0.23473169904255275,5.526486394260908e-30,3
CU,k_15Tot20Jaar_16,votes_square,0.008,0.0,0.1699,0.0,1.731,2.0413778910321473e-92,5.589772463488671e-36,3
SGP,k_15Tot20Jaar_16,votes,0.0469,0.0,0.2016,0.0,1.6139,1.2062031526575687e-57,3.502950026967835e-105,3
DENK,k_15Tot20Jaar_16,votes,-0.0041,0.0,0.0424,0.0,1.5923,0.17338253094887235,1.8197707954654044e-11,3
VijftigPlus,k_15Tot20Jaar_16,votes_square,-0.0002,0.0031,0.0029,0.0,1.6392,0.022339249310049714,0.6540435991939748,3
D66,k_20Tot25Jaar_17,votes,0.0044,0.0,0.0161,0.0,0.7144,5.614291892941684e-47,2.3584622567054453e-08,1
PVV,k_20Tot25Jaar_17,votes_log,-0.0177,0.004,0.0019,0.0,0.5061,9.771237206502926e-20,0.16010400670200572,2
