RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;LOG;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;Democraten 66 (D66);ChristenUnie;SP (Socialistische Partij);LPG;Staatkundig Gereformeerde Partij (SGP);LCG;Overig
Aa en Hunze;G1680;10787;Drenthe;P22;19516;12332;12;;12320;3853;1181;3258;2727;1301;;;;;;;
Aalburg;G0738;11084;Noord-Brabant;P30;8652;6492;6;;6486;1740;1108;597;870;;;710;;;1461;;
Aalsmeer;G0358;11264;Noord-Holland;P27;17756;10737;11;;10726;2194;3318;;2343;;;;;2871;;;
Aalten;G0197;11046;Gelderland;P25;14143;9586;10;;9576;420;4575;1054;867;;;719;;1432;;509;
Abcoude;G0305;10712;Utrecht;P26;6324;4578;9;;4569;713;889;1094;1086;;787;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;21330;14363;15;;14348;5328;4334;2161;681;;;;;;;1844;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13669;8593;14;;8579;;2103;;1345;;;895;;2824;1412;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;13918;8705;19;;8686;2607;2068;1261;1964;;371;;;;;415;
Alkemade;G0483;10349;Zuid-Holland;P28;10826;7566;14;;7552;3685;1625;1166;1076;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;71409;39576;83;;39493;12165;5734;7989;4631;3567;1763;705;2939;;;;
Almelo;G0141;11053;Overijssel;P23;54120;28348;48;;28300;4083;7287;5915;4224;2509;1684;;;;;1231;1367
Almere;G0034;10018;Flevoland;P24;111746;53205;148;;53057;17736;5206;9081;10335;5634;3070;1995;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52471;29772;87;;29685;5422;5632;2967;6187;2324;1986;1873;2688;;606;;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7217;5419;6;;5413;3468;1408;;537;;;;;;;;
Ambt Montfort;G1679;10456;Limburg;P31;8767;6678;48;;6630;6630;;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;2683;2374;0;;2374;1424;425;372;153;;;;;;;;
Amerongen;G0306;11372;Utrecht;P26;5491;3513;5;;3508;;962;713;936;;;382;;;515;;
Amersfoort;G0307;10948;Utrecht;P26;96511;55532;86;;55446;8722;8534;7664;9779;4744;3595;4330;3928;3355;795;;
Amstelveen;G0362;10799;Noord-Holland;P27;59499;34417;68;;34349;6779;5784;4848;8682;4365;3223;;;;;;668
Amsterdam;G0363;11150;Noord-Holland;P27;568538;275384;3799;;271585;22709;21460;77792;48804;35197;19600;3719;20777;19193;;593;1741
Andijk;G0364;10822;Noord-Holland;P27;4800;3295;4;;3291;;1051;874;760;242;;364;;;;;
Angerlo;G0199;11131;Gelderland;P25;3774;2530;25;;2505;1529;976;;;;;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;10444;6542;8;;6534;1413;2344;1107;1670;;;;;;;;
Apeldoorn;G0200;11075;Gelderland;P25;119355;66824;87;;66737;17172;13090;10473;10536;5333;3796;3686;;;2651;;
