RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Lokale partijen;VVD;CDA;Democraten 66 (D66);GROENLINKS;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);PVV (Partij voor de Vrijheid);ChristenUnie/SGP;Partij voor de Dieren;DENK;GROENLINKS/P.v.d.A.;50PLUS;D66/GROENLINKS/P.v.d.A.;Forum voor Democratie;NIDA;Fryske Nasjonale Partij (FNP);D66/GROENLINKS;Verenigde Senioren Partij;Algemeen Ouderen Verbond (AOV);Ouderen Politiek Actief (OPA);TROTS op Nederland Lijst Rita Verdonk;Piratenpartij;D66/P.v.d.A.;D66/GROENLINKS/P.v.d.A./SP;D66/VVD;JEZUS LEEFT;Nieuwe Communistische Partij (NCPN);U-Buntu Connected Front (UCF);Libertarische Partij (LP);Basis Inkomen Partij (BIP);Vrede en Recht;TROTS/OPA;QUEER
Aa en Hunze;G1680;10787;Drenthe;P22;20878;13189;45;44;13100;5579;2241;799;908;1623;1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;24207;13464;46;87;13331;2638;3394;4153;1105;1135;906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;21451;12690;35;52;12603;5399;1543;3536;1186;;;;939;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;21625;12261;17;38;12206;1876;613;3176;;684;1200;;1661;;992;;;;;;;;;2004;;;;;;;;;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;15229;9025;40;52;8933;;1385;1481;1073;;1780;;920;2294;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;19464;10607;36;49;10522;5181;2222;1168;;671;710;;;;;570;;;;;;;;;;;;;;;;;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;86355;47792;141;197;47454;16292;6422;4380;4685;6464;4997;;1121;;;;2446;647;;;;;;;;;;;;;;;;;;;;;;;
Almelo;G0141;11053;Overijssel;P23;57172;28835;137;146;28552;9486;4046;4072;1969;1539;1705;1582;1942;;2211;;;;;;;;;;;;;;;;;;;;;;;;;;
Almere;G0034;10018;Flevoland;P24;153458;69727;329;318;69080;9314;10574;2924;7054;5758;9690;5003;3230;;9101;;4106;;;;;;;;;;;2326;;;;;;;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;86294;48559;131;238;48190;15446;6603;6449;3591;5607;2938;2879;2834;1843;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;8134;5156;21;36;5099;3195;506;1398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;2918;2335;4;3;2328;1660;173;291;;;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amersfoort;G0307;10948;Utrecht;P26;118444;70775;190;264;70321;10668;10427;9176;10699;9257;4353;4786;7197;980;;;;2390;;;;;;;;;;;;;;;;;;;;;388;;
Amstelveen;G0362;10799;Noord-Holland;P27;64737;37604;132;156;37316;7348;9048;2439;6765;5165;2636;2618;1297;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;674286;351659;2423;2088;347148;19785;39702;11991;55724;70880;37181;26070;6837;546;;;24672;23138;;4233;;20015;;;;;;;;4459;;;;;;1052;;635;;;228
Apeldoorn;G0200;11075;Gelderland;P25;125289;70494;190;258;70046;12944;9507;8983;6951;6034;4268;3457;6154;3260;;;3192;;;4764;;;;;;;;;;;;;;304;;;;;228;;
Appingedam;G0003;10886;Groningen;P20;9536;4802;16;33;4753;1944;166;552;368;;493;894;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;123958;61422;241;235;60946;7974;8019;3767;8013;10098;5401;4682;2841;;3112;;3892;3147;;;;;;;;;;;;;;;;;;;;;;;
Assen;G0106;10522;Drenthe;P22;53009;29332;65;111;29156;3586;3380;2328;2918;3677;3834;2572;4209;;;;;;;2652;;;;;;;;;;;;;;;;;;;;;
Asten;G0743;10478;Noord-Brabant;P30;13423;7975;24;49;7902;3153;402;2360;857;;1130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;5613;3133;13;9;3111;2599;;512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baarn;G0308;11411;Utrecht;P26;19615;12016;38;56;11922;2872;2653;1540;1689;1531;843;;;;;794;;;;;;;;;;;;;;;;;;;;;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;36885;20586;56;87;20443;9131;2356;2484;1121;1280;1665;;;;;2406;;;;;;;;;;;;;;;;;;;;;;;;;
Barneveld;G0203;10906;Gelderland;P25;42235;29765;56;37;29672;5924;2372;4288;;;;;5112;7380;;;;;;;;;;;;;;;;;4596;;;;;;;;;;
Beek;G0888;11374;Limburg;P31;13317;8083;39;59;7985;3225;737;2370;;;;;;;;;;;;;1653;;;;;;;;;;;;;;;;;;;;
Beemster;G0370;10816;Noord-Holland;P27;7582;4877;22;28;4827;2252;963;446;553;;;;;;;;;;613;;;;;;;;;;;;;;;;;;;;;;
Beesel;G0889;10195;Limburg;P31;10900;5706;19;40;5647;2943;;1953;;;;;;;;;;;;;751;;;;;;;;;;;;;;;;;;;;
Berg en Dal;G1945;10616;Gelderland;P25;28493;16600;49;72;16479;8854;1117;2487;808;2221;992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergeijk;G1724;11160;Noord-Brabant;P30;14877;8942;24;27;8891;2032;1224;3731;;;;;;;;;;;1904;;;;;;;;;;;;;;;;;;;;;;
Bergen;G0373;11424;Noord-Holland;P27;24924;15985;56;53;15876;6118;2454;1794;1514;2849;1147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergen;G0893;11281;Limburg;P31;10795;5683;27;52;5604;1230;595;2304;;;;;;;;;;;;;1475;;;;;;;;;;;;;;;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;53499;26526;105;109;26312;12719;3753;2858;2615;1635;1439;1293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkelland;G1859;10436;Gelderland;P25;35545;21864;53;79;21732;5525;3171;5531;3443;2027;2035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bernheze;G1721;10149;Noord-Brabant;P30;24191;12980;44;54;12882;3881;1325;2970;1570;;;1977;;;;;;;1159;;;;;;;;;;;;;;;;;;;;;;
Best;G0753;10442;Noord-Brabant;P30;23373;12163;47;102;12014;4251;3051;1933;1260;;882;;637;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;20680;11040;32;52;10956;3566;1531;1810;1028;1360;674;987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;32426;14983;75;96;14812;4696;2356;1414;2286;2338;1722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladel;G1728;11006;Noord-Brabant;P30;16137;9049;25;48;8976;4198;608;2099;455;;;;;;;;;;1616;;;;;;;;;;;;;;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;8483;5143;13;23;5107;2677;1179;383;614;;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;17796;11954;23;31;11900;2879;3057;1592;1679;1878;815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bodegraven-Reeuwijk;G1901;11091;Zuid-Holland;P28;26363;16144;48;81;16015;2298;3627;3520;963;1361;835;;1459;1952;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;8281;4822;13;16;4793;2114;335;2344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borger-Odoorn;G1681;10448;Drenthe;P22;20781;11467;43;53;11371;5024;1724;1230;560;735;1469;;629;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borne;G0147;10326;Overijssel;P23;18074;10656;34;33;10589;3492;1563;2431;701;;;1105;;;;;;;1297;;;;;;;;;;;;;;;;;;;;;;
Borsele;G0654;10043;Zeeland;P29;17813;10764;32;29;10703;1602;1088;2505;968;;1225;;;;;2570;;;;;;;;;;;;745;;;;;;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;23259;14491;38;89;14364;4718;1159;3878;;;;3178;;;;;;;;;1431;;;;;;;;;;;;;;;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;24426;13355;28;63;13264;6422;881;1729;1454;;;1882;;;;;;;896;;;;;;;;;;;;;;;;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;146368;73235;230;347;72658;7585;17503;10631;9918;9177;6711;6412;;;;;;;;4211;;;;;;;;;;;;;;;;;;;;510;
Brielle;G0501;10232;Zuid-Holland;P28;13949;7240;17;54;7169;2456;1793;1194;828;;898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bronckhorst;G1876;11159;Gelderland;P25;29563;18101;33;94;17974;4126;3110;4506;1555;2210;1602;;;;;865;;;;;;;;;;;;;;;;;;;;;;;;;
Brummen;G0213;10798;Gelderland;P25;17010;9261;38;61;9162;2099;1846;1410;961;1422;1424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunssum;G0899;10533;Limburg;P31;23539;12480;60;102;12318;7288;1822;919;;;1081;1208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bunnik;G0312;10820;Utrecht;P26;11767;7851;25;90;7736;;;2247;;;;;;;;;;;3502;;;;;;;;;;;;;;1987;;;;;;;;
Bunschoten;G0313;11343;Utrecht;P26;16169;10411;24;30;10357;1306;2723;1540;;;;;3569;1219;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buren;G0214;11286;Gelderland;P25;20977;11791;17;30;11744;5503;2266;928;766;;1222;;;;;;1059;;;;;;;;;;;;;;;;;;;;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;52832;26269;84;111;26074;9601;2917;1726;2686;1486;1920;1858;1555;2104;;;;;;;;;;;;;;;;;;;;221;;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;28732;18767;56;76;18635;7064;3200;2491;1600;2289;1065;926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coevorden;G0109;10383;Drenthe;P22;28178;15821;47;36;15738;7980;2461;2347;642;;2308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cranendonck;G1706;10219;Noord-Brabant;P30;16554;8913;24;50;8839;3085;1074;2441;;;;;;;;;;;;;;;;;;;;;;;;2239;;;;;;;;;
Cuijk;G1684;10023;Noord-Brabant;P30;20034;11307;23;64;11220;5188;897;1787;941;497;743;1167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Culemborg;G0216;10342;Gelderland;P25;22057;12523;27;82;12414;2523;2007;1026;1921;2306;883;733;1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;21994;14780;27;31;14722;5297;1121;3520;1111;;1261;;2270;;;;;;;;;;;;;;;;;;;;;;;;142;;;;
Dantumadiel;G1891;10650;Fryslân;P21;14884;8358;21;24;8313;1523;429;2441;;;;;1274;600;;;;;1433;;;;;613;;;;;;;;;;;;;;;;;
De Bilt;G0310;10168;Utrecht;P26;33599;22168;47;98;22023;5547;3457;2353;3003;3047;1616;1042;815;1143;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Fryske Marren;G1940;10022;Fryslân;P21;40650;23385;61;80;23244;871;2945;5531;1648;1971;2854;;1311;;;;;;;;;;;4649;;;;;;;;;;;1464;;;;;;
De Ronde Venen;G0736;11379;Utrecht;P26;34756;20951;58;72;20821;6520;3716;4241;2769;;;;;;;1204;;;2371;;;;;;;;;;;;;;;;;;;;;;
De Wolden;G1690;10262;Drenthe;P22;19221;12349;33;46;12270;4648;2281;1810;754;999;1045;;733;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delft;G0503;10928;Zuid-Holland;P28;81227;45562;194;290;45078;14588;4007;3737;6110;7162;3289;3503;2682;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delfzijl;G0010;10976;Groningen;P20;20190;9892;39;83;9770;4034;1160;744;331;613;799;;1448;;641;;;;;;;;;;;;;;;;;;;;;;;;;;
Den Helder;G0400;10285;Noord-Holland;P27;45258;22021;110;111;21800;9030;2687;2898;1622;1011;1374;;1470;;1708;;;;;;;;;;;;;;;;;;;;;;;;;;
Deurne;G0762;10379;Noord-Brabant;P30;25904;14635;37;80;14518;7789;2112;2452;;1441;724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer;G0150;10899;Overijssel;P23;77903;44241;129;178;43934;14184;6139;2677;4314;5936;6831;;1827;;;;;2026;;;;;;;;;;;;;;;;;;;;;;;
Diemen;G0384;11039;Noord-Holland;P27;22116;11163;56;96;11011;3039;1591;696;1935;2391;1359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dinkelland;G1774;10245;Overijssel;P23;20914;13653;43;34;13576;4675;1763;4981;879;657;621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Doesburg;G0221;10327;Gelderland;P25;9292;5186;15;21;5150;1386;673;609;618;;;834;;;;;;;1030;;;;;;;;;;;;;;;;;;;;;;
Doetinchem;G0222;10396;Gelderland;P25;45744;23305;61;91;23153;4580;2765;4722;2497;2000;2802;2660;;;;1127;;;;;;;;;;;;;;;;;;;;;;;;;
Dongen;G0766;11412;Noord-Brabant;P30;20701;10458;43;49;10366;4236;1561;1575;1413;;1581;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dordrecht;G0505;11157;Zuid-Holland;P28;94163;48066;190;172;47704;11425;5764;4830;4729;4582;2605;2919;;;3675;4301;;;;;;;;;;2874;;;;;;;;;;;;;;;
Drechterland;G0498;10642;Noord-Holland;P27;15360;8768;29;56;8683;2621;1796;2835;;;;;;;;;;;;;1431;;;;;;;;;;;;;;;;;;;;
Drimmelen;G1719;10258;Noord-Brabant;P30;22081;12302;29;56;12217;6540;2270;964;1696;;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dronten;G0303;10210;Flevoland;P24;31429;17578;64;110;17404;2120;3849;3567;1578;1530;963;1512;2109;;;;;;;;;;;;;;;;;;;;;176;;;;;;;
Druten;G0225;10068;Gelderland;P25;14858;8788;25;46;8717;7449;;487;;;;;;;;;;;;;;;;;;;;;;;;781;;;;;;;;;
Duiven;G0226;11028;Gelderland;P25;20223;10530;41;51;10438;3988;1558;1392;754;887;575;1284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Echt-Susteren;G1711;10941;Limburg;P31;26400;15980;66;119;15795;9920;;4174;;1089;612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ede;G0228;10743;Gelderland;P25;88440;54415;135;152;54128;13582;5233;7421;3656;5221;2316;;8073;8626;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eemnes;G0317;10248;Utrecht;P26;7119;4840;13;21;4806;1926;811;1013;486;;570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;15231;8357;29;44;8284;3713;1088;1558;783;;;;;;;;;;1142;;;;;;;;;;;;;;;;;;;;;;
Eijsden-Margraten;G1903;11243;Limburg;P31;20963;13454;34;65;13355;3933;1447;4924;763;1183;1105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;181079;83982;338;650;82994;14569;12275;9514;9735;12044;10180;6609;1955;;;;;2864;;3249;;;;;;;;;;;;;;;;;;;;;
Elburg;G0230;11113;Gelderland;P25;17637;11832;29;47;11756;3394;1528;1482;398;;666;;2586;1702;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmen;G0114;11180;Drenthe;P22;86456;44892;102;110;44680;16133;3122;5041;1977;1798;7173;2545;2042;;3520;;;;;1329;;;;;;;;;;;;;;;;;;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;14793;7701;29;53;7619;1902;1024;930;852;;710;1749;;;;452;;;;;;;;;;;;;;;;;;;;;;;;;
Enschede;G0153;10364;Overijssel;P23;125125;63435;212;303;62920;13905;6771;6681;6896;6611;5630;4720;3953;;4234;;;2306;;;;;;;;;;1213;;;;;;;;;;;;;
Epe;G0232;10940;Gelderland;P25;26584;15839;45;67;15727;5146;2315;2801;1282;1237;1010;;;;;1936;;;;;;;;;;;;;;;;;;;;;;;;;
Ermelo;G0233;10732;Gelderland;P25;21403;13713;24;42;13647;2683;1504;3262;;;;;2199;1604;;;;;;;2395;;;;;;;;;;;;;;;;;;;;
Etten-Leur;G0777;10750;Noord-Brabant;P30;34393;16762;37;70;16655;7845;1862;3241;1335;1455;917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;17219;8875;30;44;8801;4457;1174;1331;414;;;;;;;;;;1425;;;;;;;;;;;;;;;;;;;;;;
Geldrop-Mierlo;G1771;10529;Noord-Brabant;P30;31366;16246;55;132;16059;6334;2238;3285;1293;1869;1040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;24141;13209;35;67;13107;4568;812;5539;;;406;1782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gennep;G0907;10542;Limburg;P31;13784;7667;16;58;7593;;1478;2369;1236;;899;1611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;20677;11292;50;100;11142;4833;1878;2104;1047;;1280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goeree-Overflakkee;G1924;11067;Zuid-Holland;P28;39091;26575;70;64;26441;9105;2891;3565;;;2693;;2490;5581;;;;;;;;;;;;;;;;;;;;116;;;;;;;
Goes;G0664;10674;Zeeland;P29;30410;17704;61;53;17590;3233;2847;3579;1275;1493;1540;1106;;;;2517;;;;;;;;;;;;;;;;;;;;;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;18687;10262;24;49;10189;4231;1474;1639;1060;;641;1144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gooise Meren;G1942;10281;Noord-Holland;P27;43566;27302;71;106;27125;7051;5580;2395;3630;2926;2499;;771;;;;;;;2273;;;;;;;;;;;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;28552;14906;35;72;14799;5779;1555;1296;1038;918;1550;1167;;;;1430;;;;;;;;;;;;;;;;;;66;;;;;;;
Gouda;G0513;10302;Zuid-Holland;P28;56977;32440;104;116;32220;7129;3278;3165;3784;3065;3279;1545;3524;2048;;;1303;;;;;;;;;;;;;;;;;100;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;9838;5738;19;32;5687;3074;456;950;432;;;;;;;;;;;;;;;;;;;;;;;775;;;;;;;;;
Gulpen-Wittem;G1729;11032;Limburg;P31;12106;8149;40;58;8051;3360;;2210;;;;;;;;;;;2481;;;;;;;;;;;;;;;;;;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;19382;11327;50;62;11215;4136;1875;2956;1180;;1068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;11520;6138;29;54;6055;3847;697;1511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;125230;68287;285;315;67687;10995;8795;6848;8390;13474;9129;4261;1791;;;;;;;;;;;;;;;;4004;;;;;;;;;;;;
Halderberge;G1655;10397;Noord-Brabant;P30;24310;11984;43;81;11860;4775;3228;2480;;;;;;;;;;;;;1377;;;;;;;;;;;;;;;;;;;;
Hardenberg;G0160;10174;Overijssel;P23;46649;28211;53;85;28073;3863;3047;8702;1082;1379;2219;;5159;677;;;;;;1945;;;;;;;;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;36028;21906;56;46;21804;6063;4070;2507;1903;1241;1470;;3721;829;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13640;8970;19;40;8911;2532;;959;;;1015;;2048;2313;;;;;;;;;;;;;;;;;;;;44;;;;;;;
Harlingen;G0072;10909;Fryslân;P21;12556;7045;25;25;6995;1923;898;1068;443;507;1834;;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hattem;G0244;10673;Gelderland;P25;9439;6289;29;49;6211;;1025;1456;876;;1118;;1736;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heemskerk;G0396;10679;Noord-Holland;P27;31594;16118;82;122;15914;5784;2131;2542;1736;1936;1372;;413;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heemstede;G0397;11288;Noord-Holland;P27;21080;13836;38;40;13758;4139;3137;1310;2223;1912;1037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heerde;G0246;10291;Gelderland;P25;14811;9021;33;43;8945;1390;1188;2025;;;1085;;;;;2156;;;;;;;;;1101;;;;;;;;;;;;;;;;
Heerenveen;G0074;10680;Fryslân;P21;39763;22078;52;83;21943;2970;3181;3025;1798;2129;4045;1375;1188;;;;;;;;;;;2232;;;;;;;;;;;;;;;;;
Heerhugowaard;G0398;10752;Noord-Holland;P27;42771;21613;82;101;21430;10189;3083;2645;1902;1625;1318;;668;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heerlen;G0917;10902;Limburg;P31;72144;32011;120;199;31692;12019;2285;3253;2193;1309;1199;7801;;;;;1633;;;;;;;;;;;;;;;;;;;;;;;;
Heeze-Leende;G1658;10462;Noord-Brabant;P30;12943;7662;27;57;7578;3693;1088;1647;581;;569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heiloo;G0399;10793;Noord-Holland;P27;18571;11945;37;53;11855;4059;2176;1621;1798;;1319;;;;;;;;;;;;;;;;;;;;;;;;882;;;;;;
Hellendoorn;G0163;10806;Overijssel;P23;28244;17971;37;30;17904;5437;1925;4703;1459;1882;763;;1735;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;32230;15497;58;75;15364;6767;3430;1925;618;1507;1117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helmond;G0794;10932;Noord-Brabant;P30;70997;29883;126;157;29600;6955;3609;4201;2169;4225;1774;3777;625;;;;;;;2265;;;;;;;;;;;;;;;;;;;;;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;23080;13520;29;34;13457;4209;1552;1722;1289;;881;;;;;3804;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;G0164;10907;Overijssel;P23;64060;36205;113;157;35935;11904;5190;3611;3120;1947;2181;4963;1180;;1839;;;;;;;;;;;;;;;;;;;;;;;;;;
Heumen;G0252;10600;Gelderland;P25;13177;8372;27;50;8295;2742;1429;1337;802;1301;684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heusden;G0797;10307;Noord-Brabant;P30;34944;18497;61;111;18325;12124;2011;1490;1025;1067;608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hillegom;G0534;11236;Zuid-Holland;P28;17511;9587;24;47;9516;4814;908;1804;853;755;382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;12353;7820;20;39;7761;5038;1366;1357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hilversum;G0402;11285;Noord-Holland;P27;69756;38924;164;207;38553;10371;6173;3697;7208;5008;1953;2335;1808;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hof van Twente;G1735;10076;Overijssel;P23;28103;17560;43;67;17450;2145;2988;5972;1593;883;2641;1228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hollands Kroon;G1911;10344;Noord-Holland;P27;37787;19137;54;104;18979;7642;3264;3158;1204;1211;1507;;993;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoogeveen;G0118;10839;Drenthe;P22;43444;23038;86;102;22850;5709;2597;4861;1426;1132;1940;2055;2452;678;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoorn;G0405;11392;Noord-Holland;P27;57146;29647;133;157;29357;13619;3792;3039;2189;3221;2677;;820;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Horst aan de Maas;G1507;11108;Limburg;P31;34179;19357;48;98;19211;3356;1375;7087;;;1968;2676;;;;;;;;;;;;;2749;;;;;;;;;;;;;;;;
