RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;GL;SP (Socialistische Partij);Democraten 66 (D66);ChristenUnie;Lijst Pim Fortuyn;Staatkundig Gereformeerde Partij (SGP);CU_SGP;FNP;Partij Nieuw Limburg;Leefbaar Zuid-Holland;Verenigde Senioren Partij;Leefbaar Brabant/BOF;Ouderenpartij NH/VSP;Partij voor het Noorden;Leefbaar Gelderland/De Groenen;Partij voor Zeeland;Gemeentebelangen Friesland;Leefbaar Noord-Holland;De Groenen/Noord-Holland Anders;Mooi Zuid-Holland/De Groenen;Onafhankelijke Partij Drenthe;Nieuwe Communistische Partij;Drents Belang/DOP;Leefbaar Provincie Utrecht;Leefbaar Provinciale Partij;Politieke Partij "Alianza";Amsterdam Anders;Lijst Nieuwe Politiek (LNP);Nieuwe Toekomst Partij;Leefbaar Flevoland;De Groenen;Nederlandse Volks Unie (NVU);Holst;Lijst Veldhoen;VIP Vooruitstrevende Integratie Partij;Democratisch Platform Nederland;N-sap
Aa en Hunze;G1680;10787;Drenthe;P22;19472;12193;;7;12186;1571;4912;3223;924;;546;145;268;9;;;;;;;;;;;;;;;333;;255;;;;;;;;;;;;;;
Aalburg;G0738;11084;Noord-Brabant;P30;8689;5131;;3;5128;2022;439;434;55;93;45;;91;;1906;;;;17;25;;;;;;;;;;;;;;;;1;;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;17287;8624;;10;8614;2689;1636;2334;437;282;423;;300;;350;;;;;;39;;;;;49;25;;;4;;;33;;5;;8;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;13859;8285;;6;8279;4748;1408;752;323;345;174;328;109;29;;;;;;;;;55;;;;;;;;;;;;;;;;;8;;;;;
Abcoude;G0305;10712;Utrecht;P26;6195;3854;;2;3852;1131;656;999;332;152;335;81;87;41;;;;;;;;;;;;;;;;;;17;;;;;;;21;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;21378;12726;;6;12720;4435;2662;633;283;329;118;;201;;1488;2285;;;;;;;;;273;;;;;13;;;;;;;;;;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13451;7021;;6;7015;1595;1855;858;165;225;138;623;194;1277;;;;43;13;;;;;;;;;19;;;;;;3;;0;0;;;;0;2;0;4;1
Albrandswaard;G0613;10124;Zuid-Holland;P28;13990;6810;;4;6806;1719;1323;1793;239;275;288;170;722;137;;;;77;18;;;;;;;;;19;;;;;;1;;7;4;;;;1;3;0;10;0
Alkemade;G0483;10349;Zuid-Holland;P28;10736;5185;;4;5181;2121;795;1327;290;190;171;18;136;17;;;;46;24;;;;;;;;;35;;;;;;1;;4;1;;;;1;2;2;;0
Alkmaar;G0361;10527;Noord-Holland;P27;69677;31693;;42;31651;5751;10343;5413;3332;2791;1634;;869;;515;;;;;;339;;;;;173;166;;;57;;;197;;21;;50;;;;;;;;
Almelo;G0141;11053;Overijssel;P23;52720;22328;;24;22304;6961;6790;3389;1528;1206;929;778;621;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almere;G0034;10018;Flevoland;P24;112652;42793;;42;42751;5000;12402;11475;3294;2531;3032;1178;1990;128;;;;;680;;;;;;;;;;;;;;;;;220;;821;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52196;23362;;39;23323;6068;4518;5596;1623;1638;1187;1146;705;484;;;;134;71;;;;;;;;;77;;;;;;11;;10;8;;;;38;2;3;;4
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7061;3585;;2;3583;1813;528;690;138;148;102;;105;;6;;;;20;24;;;;;;;;;;;;;;;;9;;;;;;;;;
Ambt Montfort;G1679;10456;Limburg;P31;8585;4041;;2;4039;2036;801;591;203;142;78;;72;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;2642;1709;;2;1707;533;341;281;60;40;26;;29;;11;18;;;;;;;;;367;;;;;1;;;;;;;;;;;;;;;
Amerongen;G0306;11372;Utrecht;P26;5408;3133;;2;3131;938;485;666;126;97;150;170;65;415;;;;;;;;;;;;;;;;;;13;;;;;;;6;;;;;;
Amersfoort;G0307;10948;Utrecht;P26;94851;46952;;44;46908;9977;11414;8894;4961;3187;2709;3569;863;645;;;;;;;;;;;;;;;;;;577;;;;;;;112;;;;;;
