RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;VVD;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ChristenUnie/SGP;Leefbaar Zuid-Holland;Fryske Nasjonale Partij (FNP);Ouderenpartij NH/VSP;Brabantse Partij;Partij Nieuw Limburg;Verenigde Senioren Partij (NB);Partij voor het Noorden;Partij voor Zeeland;Fortuyn;Mooi Utrecht;Lokaal Zuid-Holland;Gelderland Lokaal;De Groenen/Noord-Holland Anders;Een voor de Vrijheid;Nieuw Rechts;Limburgs Belang;Gemeentebelangen Friesland;Actief Drenthe;Islam Democraten;Onafhankelijke Partij Drenthe;LEEFBAAR OV/ VER. SENIOREN PARTIJ;Drentse Ouderenpartijen;Nederlandse Volksunie;ONS Flevoland / VER. SENIOREN PARTIJ;Zeeuws Belang !;Tilburgse Volkspartij (TVP);deFriezen;Drents Belang-Ver. Senioren Partij;Nieuwe Communistische Partij;Groep Hop;Nederlandse Klokkenluiders Partij;Sociaal-Liberale Partij
Aa en Hunze;G1680;10787;Drenthe;P22;19878;11548;;27;11521;1310;2621;4014;1274;618;291;240;237;12;;;;;;;;155;;;;;;;;;;;444;;176;;61;;;;;;68;;;;
Aalburg;G0738;11084;Noord-Brabant;P30;8942;4941;;14;4927;1343;492;287;284;49;;24;78;;2238;;;;101;;28;;;;;;;;;;;;;;;;;;;;3;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;18658;8823;;36;8787;2558;2365;1408;746;341;;209;233;;675;;;214;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;20536;10354;;15;10339;4644;1179;1389;1465;323;840;105;174;32;;;;;;;;;;28;;;74;;54;;;;;;;;;30;;;;;;;2;;
Abcoude;G0305;10712;Utrecht;P26;6207;3626;;14;3612;946;1068;502;260;375;139;186;72;30;;;;;;;;;;;34;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;21500;11546;;21;11525;3582;611;2336;861;158;1788;43;111;;;;1745;;;;;39;;;;;;;;;;184;;;;;;;;;;55;;;;12;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13638;7005;;19;6986;1366;797;1238;748;139;1051;71;143;1266;;99;;;;;;;;26;;21;;;;;;;;21;;;;;;;;;;;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;16240;7622;;42;7580;1457;1909;923;722;248;391;123;231;143;;358;;;;;;;;48;;1019;;;;;;;;8;;;;;;;;;;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;10894;5034;;17;5017;1991;1255;670;513;221;53;74;80;15;;68;;;;;;;;23;;25;;;;26;;;;;;;;;;;;;;;;;3
Alkmaar;G0361;10527;Noord-Holland;P27;71156;31366;;145;31221;5197;5446;7159;6356;2882;;849;1174;;947;;;936;;;;;;;;;;275;;;;;;;;;;;;;;;;;;;
Almelo;G0141;11053;Overijssel;P23;53128;21971;;66;21905;6133;3476;5241;3266;909;1398;389;415;81;;;;;;;;;;91;;;;;;255;;;;;;251;;;;;;;;;;;
Almere;G0034;10018;Flevoland;P24;125058;46248;;318;45930;5510;12984;9763;8167;3234;2262;1216;1946;96;;;;;;;;;;;;;;;;;;;;;;;;;752;;;;;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;53137;22571;;107;22464;5686;5153;3482;2986;1345;1767;547;568;404;;304;;;;;;;;61;;48;;;;102;;;;;;;;;;;;;;;;;11
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7165;3486;;10;3476;1521;762;322;475;91;;43;75;;26;;;;85;;70;;;;;;;;;;;;;;;;;;;;6;;;;;;
Ameland;G0060;11153;Fryslân;P21;2603;1511;;7;1504;480;258;319;87;43;20;20;38;;;;12;;;;;4;;;;;;;;;;217;;;;;;;;;;6;;;;0;
Amersfoort;G0307;10948;Utrecht;P26;100614;49627;;177;49450;9592;9216;8897;6805;4963;5362;1682;1402;576;;;;;;;;;;;955;;;;;;;;;;;;;;;;;;;;;;
Amstelveen;G0362;10799;Noord-Holland;P27;56926;30254;;108;30146;5748;8405;5193;3544;2681;;1362;1024;;950;;;1062;;;;;;;;;;177;;;;;;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;529595;215906;;1385;214521;15188;37726;50786;39526;37047;;12599;9685;;4271;;;5424;;;;;;;;;;2269;;;;;;;;;;;;;;;;;;;
Andijk;G0364;10822;Noord-Holland;P27;4953;2460;;9;2451;768;469;340;274;122;;42;69;;304;;;53;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;
