RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);CDA;PVV (Partij voor de Vrijheid);Socialistische Partij (SOPA);Democraten 66 (D66);GROENLINKS;ChristenUnie;50PLUS;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;PARTIJ VOOR ZEELAND (PVZ);Partij voor het Noorden;Partij Nieuw Limburg (PNL);Platform Lokale Partijen;Unie van Democraten (De Unie);Provinciaal Belang Fryslân;Partij voor Mens en Spirit (MenS);Onafhankelijke Partij Drenthe O.P.D.;Brabant Nu;Platform Lokale Partijen Utrecht (PLU);De Groenen;Mooi Utrecht;Solidara;DPS/Groep van Bergen/De Groenen;Leefbaar Almere;Gelderse Centrumdemocraten (Gelderse C.D.);Verenigd Links-Feriene Lofts
Aa en Hunze;G1680;10787;Assen;K3;20262;13126;22;15;13089;3252;4215;1093;1000;1165;897;818;235;212;16;;;;;;;;;;;;170;;;;;16;;;;
Aalburg;G0738;11084;Tilburg;K17;9343;5903;16;1;5886;760;319;1295;819;253;107;86;;78;;64;2103;;;;;;;;;;;2;;;;;;;;
Aalsmeer;G0358;11264;Haarlem;K10;22022;13462;24;12;13426;4448;1564;2248;1832;708;1005;447;;245;;229;537;;157;;;;;;;;;;;6;;;;;;
Aalten;G0197;11046;Arnhem;K7;20758;12149;20;13;12116;1919;1846;3464;1070;1576;614;472;671;210;40;198;;;;;;;;;;18;;;;;;;4;;14;
Achtkarspelen;G0059;10199;Leeuwarden;K2;21541;12085;13;6;12066;949;2370;2855;1171;694;222;303;1678;105;;;;1405;;;36;;;;271;;;;;;;;;;;7
Alblasserdam;G0482;11327;Dordrecht;K14;14099;8240;9;6;8225;1116;1277;966;926;627;526;170;812;200;1477;115;;;;;;;8;5;;;;;;;;;;;;
Albrandswaard;G0613;10124;Dordrecht;K14;18592;9741;16;13;9712;2603;1180;1131;1666;885;606;328;264;264;149;221;;;;;;;408;7;;;;;;;;;;;;
Alkmaar;G0361;10527;Den Helder;K11;71693;39293;84;39;39170;6868;8507;3228;4336;5027;4107;3553;;1053;;1064;655;;676;;;;;;;;;;;96;;;;;;
Almelo;G0141;11053;Zwolle;K4;54008;26627;83;19;26525;4430;6110;4152;3371;2840;1946;1230;1016;861;112;395;;;;;;;;;;;;;;;;62;;;;
Almere;G0034;10018;Lelystad;K5;134265;66376;130;66;66180;15435;13125;2850;12227;6397;5335;4495;1580;1864;141;1851;;;;;;;;;;;;;;;;;;880;;
