RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;CDA;Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);ChristenUnie-SGP;FNP;Ouderenpartij Noord-Holland;Groninger Belang;Lokaal Brabant;Hart voor Holland;Piratenpartij;Volkspartij Limburg;LOKAAL-LIMBURG;LOKAAL OVERIJSSEL;STERK LOKAAL;Nederland Lokaal;Lokaal Belang Gelderland / 1 Achterhoek;Lokale Partijen Gelderland;Verenigde Lokale Partijen Zuid-Holland;Zeeland Lokaal;PARTIJ VOOR ZEELAND (PVZ);Libertarische Partij (LP);Vrouwen Partij (VP);Partij voor het Noorden;Multicultureel Plus Partij (M+);Provincie@Inwonersbelangen;Senioren Belang Noord;JEZUS LEEFT;Partij voor Mens en Spirit (MenS);Seniorenpartij Groningen;Provinciaal Belang Zeeland;PSP'92 Gelderland;Groningen Centraal!;Vrijzinnige Partij;Grunnegers veur Stad en Ommelaand;Vrede en Recht;Verenigde Communistische Partij;Partij voor Leefbaarheid en Democratie;Friese Koers;Ouderen Politiek Actief (OPA);PLATFORM VRIJE POLITIEK;StemNL;Gelderse Centrumdemocraten (Gelderse C.D.);Red het Noorden;Verenigd Links-Feriene Lofts;Vrij Mandaat
Aa en Hunze;G1680;10787;Assen;K3;20252;11621;25;43;11553;2398;906;1220;1062;1330;2210;736;287;;513;53;;;;;;;;;;;627;;;;;;;;;;;;211;;;;;;;;;;;;;;;;;;;
Aalburg;G0738;11084;Tilburg;K17;9607;5358;11;18;5329;474;982;145;606;253;160;41;;112;78;;2278;;;;181;;;;;;;;;;;;;4;;;;;;12;;;;;;;;;;;;;2;1;;;;
Aalsmeer;G0358;11264;Haarlem;K10;22501;11501;21;29;11451;3196;1809;1317;1456;650;997;269;;312;403;;668;;153;;;82;61;;;;;;;;;;;;71;;7;;;;;;;;;;;;;;;;;;;;;
Aalten;G0197;11046;Arnhem;K7;20812;10075;20;26;10029;1387;3047;900;759;1292;749;355;635;239;257;67;;;;;;;;;;;;;214;53;;;;8;;;;;;;25;;;19;;10;;8;;;;;;;5;;;
Achtkarspelen;G0059;10199;Leeuwarden;K2;21489;10931;25;21;10885;720;2604;346;1334;893;1197;151;1741;132;180;;;1559;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;14;;;;;;1;
Alblasserdam;G0482;11327;Dordrecht;K14;14672;7759;20;15;7724;822;954;509;947;651;709;113;862;167;241;1680;;;;;;;;;;;;26;;;8;;;8;;;;;;25;;;;;;2;;;;;;;;;;;;
Albrandswaard;G0613;10124;Dordrecht;K14;18922;8852;31;21;8800;1879;1221;918;1550;695;709;246;372;344;389;198;;;;;;;;;;;;212;;;27;;;11;;;;;;21;;;;;;8;;;;;;;;;;;;
Alkmaar;G0361;10527;Den Helder;K11;82035;38933;102;125;38706;6347;3894;5468;4199;4346;4998;2835;;2004;1675;;733;;1045;;;485;353;;;;;;;;;;;;222;;102;;;;;;;;;;;;;;;;;;;;;
Almelo;G0141;11053;Zwolle;K4;54122;22348;96;58;22194;2680;3761;2495;3345;3107;2829;794;1065;542;829;167;;;;;;;;;;580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Almere;G0034;10018;Lelystad;K5;140902;56720;205;188;56327;9287;4185;7723;10133;7284;5919;2712;1737;3175;3234;245;;;;;;;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;;524;;;;;;
Alphen aan den Rijn;G0484;10517;Leiden;K15;80273;41162;98;153;40911;8191;6406;5210;4864;3708;3664;1805;2207;1385;1421;1620;;;;;;;;;;;;153;;;158;;;74;;;;;;;;;;;;45;;;;;;;;;;;;
Alphen-Chaam;G1723;10710;Tilburg;K17;7647;3961;22;11;3928;662;1506;361;364;367;207;105;;119;161;;15;;;;47;;;;;;;;;;;;;5;;;;;;5;;;;;;;;;;;;;1;3;;;;
Ameland;G0060;11153;Leeuwarden;K2;2734;1405;2;5;1398;299;408;86;108;99;207;33;28;41;55;;;32;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;0;;;;;;0;
Amersfoort;G0307;10948;Utrecht;K8;111747;57761;130;181;57450;9374;5504;10874;4583;6679;5860;4065;5050;2478;1611;867;;;;;;;;;;;;;;;;;;81;;;;214;;131;;;;;;79;;;;;;;;;;;;
Amstelveen;G0362;10799;Haarlem;K10;59659;31872;108;100;31664;7557;2771;5783;3065;2698;3367;2039;;1300;987;;893;;526;;;182;281;;;;;;;;;;;;175;;40;;;;;;;;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Amsterdam;K9;578940;252304;1208;1073;250023;33784;8268;51248;18931;31759;38062;30211;;16266;4684;;5240;;2753;;;998;3935;;;;;;;;;;;;1349;;2535;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;G0200;11075;Arnhem;K7;123174;59897;146;153;59598;9821;7885;8216;5691;5846;5745;3058;4212;2610;2134;3000;;;;;;;;;;;;;272;302;;;;100;;;;;;;214;;;175;;54;;221;;;;;;;42;;;
Appingedam;G0003;10886;Groningen;K1;9622;4795;8;16;4771;291;568;275;469;884;586;113;302;110;154;;;;;592;;;;;;;;;;;;;;;;157;;;;;17;97;;;119;;14;;11;;;;;;;3;;9
Arnhem;G0202;10795;Arnhem;K7;115799;48404;168;135;48101;6409;3475;9027;4618;7103;5714;4419;1629;2846;1303;162;;;;;;;;;;;;;332;223;;;;114;;;;;;;225;;;264;;47;;95;;;;;;;96;;;
Assen;G0106;10522;Assen;K3;51347;25996;69;69;25858;3025;2502;3117;2184;3556;4301;1601;3200;;941;278;;;;;;;;;;;829;;;;;;;;;;;;324;;;;;;;;;;;;;;;;;;;
Asten;G0743;10478;'s-Hertogenbosch;K18;12660;6216;16;29;6171;1148;1670;597;720;874;419;170;;151;278;;28;;;;89;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;3;8;;;;
Baarle-Nassau;G0744;10060;Tilburg;K17;5177;2264;7;5;2252;299;842;133;285;301;110;59;;89;90;;7;;;;29;;;;;;;;;;;;;1;;;;;;6;;;;;;;;;;;;;0;1;;;;
Baarn;G0308;11411;Utrecht;K8;19019;10281;23;31;10227;2286;1394;1721;950;793;849;694;481;488;342;148;;;;;;;;;;;;;;;;;;9;;;;32;;24;;;;;;16;;;;;;;;;;;;
Barendrecht;G0489;10943;Dordrecht;K14;35059;16505;41;57;16407;3086;2415;1782;2577;1266;1269;476;835;582;676;1210;;;;;;;;;;;;102;;;63;;;19;;;;;;38;;;;;;11;;;;;;;;;;;;
Barneveld;G0203;10906;Arnhem;K7;39693;24066;59;45;23962;3091;4087;1219;2008;810;700;301;3792;298;449;6891;;;;;;;;;;;;;80;76;;;;27;;;;;;;45;;;28;;21;;31;;;;;;;8;;;
Bedum;G0005;10425;Groningen;K1;8175;5108;12;17;5079;364;972;292;251;650;583;234;854;137;66;;;;;392;;;;;;;;;;;;;;;;159;;;;;15;29;;;57;;8;;3;;;;;;;8;;5
Beek;G0888;11374;Maastricht;K19;13172;6652;17;25;6610;906;1557;707;1241;831;431;152;;204;236;;;;;;;;;85;240;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;
Beemster;G0370;10816;Den Helder;K11;7026;4070;12;12;4046;1567;428;438;372;257;353;181;;163;99;;37;;88;;;26;22;;;;;;;;;;;;13;;2;;;;;;;;;;;;;;;;;;;;;
Beesel;G0889;10195;Venlo;K191;10605;4695;13;28;4654;542;1302;385;872;587;310;123;;90;182;;;;;;;;;150;58;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;
