Party,Statistic,Type,Coeff,pval_coeff,r2,Lilliefors,Linearity,Heteroscedasticity,Model_score
VVD,JongerDan5Jaar_13,votes_square,-0.0032,0.0,0.0125,0.0,0.2572,1.5684193823719935e-13,2
D66,JongerDan5Jaar_13,votes_sqrt,-0.0364,0.0,0.1792,0.0,0.9642,3.489567817729547e-08,3
PVV,JongerDan5Jaar_13,votes_div,0.8227,0.0,0.0077,0.0,0.0818,0.2184351906568823,3
CDA,JongerDan5Jaar_13,votes_log,0.1696,0.0,0.1097,0.0,0.0001,0.14937427011011953,3
SP,JongerDan5Jaar_13,votes,-0.0118,0.0,0.0615,0.0,0.0,6.173711051376937e-11,2
PvdA,JongerDan5Jaar_13,votes,0.0142,0.0,0.0323,0.0,0.0,1.0693920888186169e-05,1
Groenlinks,JongerDan5Jaar_13,votes_square,-0.0007,0.0,0.0139,0.0,0.4557,0.00018212952207602087,2
FvD,JongerDan5Jaar_13,votes,0.0,0.9966,0.0,0.0,0.7926,0.5927817912278892,2
PvdD,JongerDan5Jaar_13,votes,-0.0054,0.0,0.1608,0.0,0.0,0.1220473875482585,3
CU,JongerDan5Jaar_13,votes_sqrt,0.0335,0.0,0.1074,0.0,0.2071,8.954808870887029e-67,3
SGP,JongerDan5Jaar_13,votes,0.0279,0.0,0.1747,0.0,0.0,2.657112339891428e-141,2
DENK,JongerDan5Jaar_13,votes_sqrt,0.0166,0.0,0.0548,0.0,0.0,6.980251861889373e-22,2
VijftigPlus,JongerDan5Jaar_13,votes_log,-0.1926,0.0,0.0766,0.0,0.0,0.9155714244694133,3
VVD,k_5Tot10Jaar_14,votes_div,0.88,0.0,0.021,0.0,0.0,4.0884398219529217e-47,1
D66,k_5Tot10Jaar_14,votes,-0.0181,0.0,0.1199,0.0,0.1117,6.862967719843502e-17,3
PVV,k_5Tot10Jaar_14,votes_log,-0.0376,0.0,0.0037,0.0,0.4231,6.278820846413085e-08,2
CDA,k_5Tot10Jaar_14,votes_log,0.206,0.0,0.1251,0.0,0.0,0.9840676255605129,3
SP,k_5Tot10Jaar_14,votes_div,5.1122,0.0,0.0789,0.0,0.0,1.2969040479430647e-28,2
PvdA,k_5Tot10Jaar_14,votes,0.0075,0.0,0.0071,0.0,0.0,1.4841301903558376e-07,1
Groenlinks,k_5Tot10Jaar_14,votes,-0.0089,0.0,0.0546,0.0,0.9929,1.0112500529585415e-25,3
FvD,k_5Tot10Jaar_14,votes,-0.0033,0.1067,0.0018,0.0,0.8022,0.21270009189244063,2
PvdD,k_5Tot10Jaar_14,votes,-0.0066,0.0,0.2001,0.0,0.0,2.1238612550322903e-05,2
CU,k_5Tot10Jaar_14,votes,0.0215,0.0,0.1351,0.0,0.0,7.677757341415321e-63,2
SGP,k_5Tot10Jaar_14,votes,0.032,0.0,0.1725,0.0,0.0,9.096853645333e-130,2
DENK,k_5Tot10Jaar_14,votes,0.0011,0.0109,0.0044,0.0,0.0,0.2951813172811531,2
VijftigPlus,k_5Tot10Jaar_14,votes_square,-0.0004,0.0,0.0183,0.0,0.1577,0.3045637437912722,3
VVD,k_10Tot15Jaar_15,votes_div,1.0367,0.0,0.0224,0.0,0.0,2.8999097863034547e-46,1
D66,k_10Tot15Jaar_15,votes_sqrt,-0.0313,0.0,0.08,0.0,0.4542,0.4554280914972725,4
PVV,k_10Tot15Jaar_15,votes,-0.0078,0.0,0.0128,0.0,0.1143,1.3492783863753054e-36,2
